,Naam_x,District,Verkiezingdatum,Sterfdatum,Vermogen,Naam_y,matched b1-nummer,nw0,Vermogen_deflated,nw0_deflated
49,mr. H.A. van Mens,Tilburg,19/01/1864,08-03-1893,73732.34,C.C.A. Beens,00078,117229.005,74461.08983315848,111454.17718904404
50,J.H.A. Diepen,Tilburg,23/11/1880,20/06/1897,153379.83,B.M. Bahlmann,00057,,158094.44843221043,
51,J.H.A. Diepen,Tilburg,07/12/1880,20/06/1897,153379.83,B.M. Bahlmann,00057,,158094.44843221043,
52,mr. M. van den Acker,Eindhoven,17/05/1853,15/07/1871,,J.B. Bots,00186,,,
53,mr. M. van den Acker,Eindhoven,17/05/1853,15/07/1871,,J.F. van der Heyde,00577,,,
54,J.H.A. Diepen,Eindhoven,10/06/1879,20/06/1897,153379.83,C.A.H. Barge,00063,-701.62,158094.44843221043,-369.7807230629418
55,mr. F.G.J. baron van Rijckevorsel van Kessel,Den Bosch,11/09/1850,24/05/1879,336478.51,J.H.H. de Poorter,01054,,248728.9009156861,
56,mr. J.H.A.M. Essink,Ommen,09/06/1891,18/01/1918,483898.69,E. van Weede van Dijkveld,01400,498884.04,307617.3892518635,262931.07527687575
57,mr. J.H.A.M. Essink,Enschede,09/06/1891,18/01/1918,483898.69,W.J. Geertsema,00438,,307617.3892518635,
58,mr. J.H.A.M. Essink,Enschede,23/06/1891,18/01/1918,483898.69,W.J. Geertsema,00438,,307617.3892518635,
59,W. Bos,Enkhuizen,06/03/1888,,24601.03,D. Visser van Hazerswoude,01444,,,
60,W. Bos,Enkhuizen,28/10/1890,,24601.03,J. Zijp,01613,54541.84,,56218.35746771836
61,W. Bos,Beverwijk,09/06/1891,,24601.03,J.W.G. Boreel van Hogelanden,00164,,,
62,W. Bos,Beverwijk,23/06/1891,,24601.03,J.W.G. Boreel van Hogelanden,00164,,,
63,dr. T.C.L. Wijnmalen,Haarlemmermeer,09/06/1891,,2029.28,F.J.M.A. Reekers,01091,234556.0,,120529.53179612223
64,J.G. van Schaardenburg,Dordrecht,26/03/1889,,203448.98,S.M.H. van Gijn,00500,1548611.47,,1240166.2749773038
65,F.G. Mellink Pzn.,Amsterdam II,15/06/1897,,448.58,H.F. Groen van Waarder,00486,712206.54,,643185.3809820791
66,F.G. Mellink Pzn.,Amsterdam II,25/06/1897,,448.58,H.F. Groen van Waarder,00486,712206.54,,643185.3809820791
67,J. Hoven,Zwolle,25/06/1897,,-14938.28,A. van Dedem,00293,,,
68,J.H. Tromp Meesters,Steenwijk,16/06/1905,,3047267.23,L.F. Duymaer van Twist,00354,,,
69,mr. D. Bonthuis,Appingedam,27/12/1848,11/04/1905,1547010.9,R. Westerhoff,01527,,1406299.9455713176,
70,A. Vogelsang,Ridderkerk,30/11/1848,30/06/1877,10000,W. Wijnaendts,01582,152344.32,7007.42293939852,130112.14662912597
71,L. Kluit,Ridderkerk,30/11/1848,11/03/1858,,W. Wijnaendts,01582,152344.32,,130112.14662912597
72,P.J. de Raadt van Hendrik-Ido-Ambacht,Ridderkerk,30/11/1848,10/05/1870,350170,W. Wijnaendts,01582,152344.32,203685.3823952237,130112.14662912597
73,A. Vogelsang,Ridderkerk,09/12/1848,30/06/1877,10000,W. Wijnaendts,01582,152344.32,7007.42293939852,130112.14662912597
74,jhr. E. de Wendt Alberda van Ekenstein,Zuidhorn,07/04/1869,27/11/1890,106910.94,N. Olivier,01000,,101477.76107971209,
75,H.W. Wierda,Zuidhorn,07/04/1869,07/01/1894,352349.65,N. Olivier,01000,,363741.43688391993,
76,H.W. Wierda,Zuidhorn,08/06/1869,07/01/1894,352349.65,N. Olivier,01000,,363741.43688391993,
77,J.G. Nederhoed,Appingedam,12/06/1883,09/10/1898,81750.3,D. de Ruiter Zijlker,01142,-4728.53,83421.6138196131,-4499.045031778339
78,T. Borgesius,Winschoten,18/07/1864,13/04/1888,36153.51,W.J.A. Jonckbloet,00646,,33733.695144208825,
79,mr. W. Woldringh,Winschoten,18/07/1864,24/03/1894,124707.09,W.J.A. Jonckbloet,00646,,128738.98443268589,
80,T. Borgesius,Winschoten,02/08/1864,13/04/1888,36153.51,W.J.A. Jonckbloet,00646,,33733.695144208825,
81,jhr.mr. O.Q. van Swinderen,Winschoten,01/09/1887,28/11/1870,7201,H. Goeman Borgesius,00469,237166.64,4188.646767650016,160709.0670972835
82,jhr.mr. O.Q. van Swinderen,Winschoten,01/09/1887,28/11/1870,7201,H.L. Drucker,00348,3013169.65,4188.646767650016,2041786.667203061
83,jhr.mr. O.Q.J.J. van Swinderen,Sneek,14/06/1864,05/11/1925,1177025,S. Wybenga,01572,,704655.1543738588,
84,J. Wolbers,Sneek,10/06/1873,22/09/1889,113321.95,W.H. Idzerda,00625,,107504.22018268096,
85,J. Wolbers,Sneek,10/06/1873,22/09/1889,113321.95,S. Wybenga,01572,,107504.22018268096,
86,J. Binkes,Sneek,08/06/1875,29/03/1891,52747.98,A. Moens,00931,1750.0,50023.60846342846,1738.58956775
87,mr. W. baron van Heemstra,Sneek,14/06/1881,27/10/1909,-594.66,W.H. Idzerda,00625,,-550.8930242606014,
88,mr. W. baron van Heemstra,Sneek,14/06/1881,27/10/1909,-594.66,S. Wybenga,01572,,-550.8930242606014,
89,K. Kater,Sneek,01/09/1887,26/10/1916,574.25,A. Buma,00239,,426.6296972297292,
90,K. Kater,Sneek,01/09/1887,26/10/1916,574.25,B.H. Heldt,00553,942.0,426.6296972297292,818.1270002310321
91,mr. B.J. Gratama,Dokkum,08/06/1875,26/06/1886,137220.48,W.A. Bergsma,00102,63082.0,125303.31922774142,56492.79956677377
92,mr. B.J. Gratama,Dokkum,14/06/1881,26/06/1886,137220.48,I.F. van Humalda van Eysinga,00618,724670.74,125303.31922774142,665584.325149575
93,mr. J.C. Bijsterbos,Zwolle,08/06/1852,13/10/1898,44527.82,G. Groen van Prinsterer,00485,,45438.1525727642,
94,S.A. van Hoogstraten,Almelo,13/06/1854,24/10/1875,15000,M.J. de Man,00872,,7754.464276889159,
95,mr. E.J.I. van Sonsbeeck,Almelo,06/05/1884,28/12/1890,6491.81,A. van Laer,00776,163189.74,6161.89834412536,158854.84122271778
96,mr. E.J.I. van Sonsbeeck,Almelo,20/05/1884,28/12/1890,6491.81,A. van Laer,00776,163189.74,6161.89834412536,158854.84122271778
97,mr. J.F. Pringle,Arnhem,14/06/1864,03/01/1868,0,W. van Lynden,00855,,0.0,
98,jhr. B. van Merlen,Tiel,08/06/1858,19/12/1890,24020.65,J.M. de Kempenaer,00681,,22799.928442116274,
99,S.A. van Hoogstraten,Amersfoort,10/06/1856,24/10/1875,15000,A.W. Engelen,00382,30833.01,7754.464276889159,29266.08654033323
100,mr. H. Verloren van Themaat,Amersfoort,10/06/1862,22/02/1885,1365214.39,H.A.M. van Asch van Wijck,04207,,1199604.1057053434,
101,mr. H. Verloren van Themaat,Amersfoort,24/06/1862,22/02/1885,1365214.39,H.A.M. van Asch van Wijck,04207,,1199604.1057053434,
102,jhr.mr. J.L.B. de Muralt,Utrecht,08/06/1858,28/08/1889,392538.55,N.P.J. Kien,00697,,372386.3797736477,
103,mr. H. Verloren van Themaat,Utrecht,13/11/1866,22/02/1885,1365214.39,N.P.J. Kien,00697,,1199604.1057053434,
104,G. van Leeuwen,Alkmaar,30/11/1848,12/03/1872,20000,S.A. de Moraaz,00943,,12355.953889763261,
105,C. Bloem,Hoorn,13/10/1874,11/03/1875,1500,I.D. Fransen van de Putte,00421,,775.446427688916,
106,C. Bloem,Hoorn,27/10/1874,11/03/1875,1500,I.D. Fransen van de Putte,00421,,775.446427688916,
107,J.D. van Herwerden,Alkmaar,12/06/1866,09/09/1879,101860.72,N. Olivier,01000,,75296.6509869544,
108,H.G. Jansen,Haarlem,30/10/1866,01/07/1910,42292.42,G.L.J. van der Hucht,00614,,38938.79655057655,
109,H.G. Jansen,Haarlem,30/10/1866,01/07/1910,42292.42,J.H. Geertsema,00437,59189.94,38938.79655057655,51401.32276152862
110,H.G. Jansen,Haarlem,13/11/1866,01/07/1910,42292.42,J.H. Geertsema,00437,59189.94,38938.79655057655,51401.32276152862
111,H.G. Jansen,Haarlem,13/11/1866,01/07/1910,42292.42,G.L.J. van der Hucht,00614,,38938.79655057655,
112,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23/07/1878,23708.04,M.H. Godefroi,00464,,16319.594767325896,
113,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23/07/1878,23708.04,S.R. van Franck,00419,,16319.594767325896,
114,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23/07/1878,23708.04,H. Stolte,01312,,16319.594767325896,
115,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23/07/1878,23708.04,J. Bosscha,00183,,16319.594767325896,
116,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23/07/1878,23708.04,J.C. Baud,00067,,16319.594767325896,
117,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,23/07/1878,23708.04,S.R. van Franck,00419,,16319.594767325896,
118,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,23/07/1878,23708.04,J. Bosscha,00183,,16319.594767325896,
119,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,23/07/1878,23708.04,J.C. Baud,00067,,16319.594767325896,
120,dr. A. Vrolik,Amsterdam,20/03/1860,08/06/1894,477922.42,J.G. Rijnders,01100,,493374.0895438388,
121,J.D. van Herwerden,Amsterdam,10/06/1862,09/09/1879,101860.72,G.C.J. van Reenen,01092,587570.13,75296.6509869544,593377.5088815925
122,J.D. van Herwerden,Amsterdam,10/06/1862,09/09/1879,101860.72,M.H. Godefroi,00464,,75296.6509869544,
123,J.D. van Herwerden,Amsterdam,10/06/1862,09/09/1879,101860.72,J. Heemskerk Bzn.,00538,1948.0,75296.6509869544,1430.3669240207687
124,mr. J. Wertheim,Amsterdam,22/01/1868,14/04/1886,-3564.84,G.C.J. van Reenen,01092,587570.13,-3255.2450225784205,593377.5088815925
125,mr. J. Wertheim,Amsterdam,22/01/1868,14/04/1886,-3564.84,H.A. Insinger,00628,,-3255.2450225784205,
126,mr. J. Wertheim,Amsterdam,22/01/1868,14/04/1886,-3564.84,J.J. Rochussen,01116,,-3255.2450225784205,
127,mr. J. Wertheim,Amsterdam,22/01/1868,14/04/1886,-3564.84,M.J. Pijnappel,01068,1927298.96,-3255.2450225784205,1759734.1754003214
128,mr. J. Wertheim,Amsterdam,22/01/1868,14/04/1886,-3564.84,M.H. Godefroi,00464,,-3255.2450225784205,
129,mr. J. Wertheim,Amsterdam,22/01/1868,14/04/1886,-3564.84,P.P. van Bosse,00184,178984.54,-3255.2450225784205,132307.49243123925
130,dr. J. Bosscha jr.,Amsterdam,12/10/1869,15/04/1911,,E.H. s' Jacob,00631,665450.23,,593310.2608317393
131,mr. M.J. van Lennep,Amsterdam,26/02/1878,20/01/1913,409734.41,G. van Tienhoven,01365,381103.35,373443.5253280076,330988.25956846826
132,mr. J.H. van der Sande,Leiden,27/08/1850,16/11/1868,1000,D.T. Gevers van Endegeest,00456,1026960.73,592.5900646729309,719634.8177263449
133,mr. J.H. van der Sande,Leiden,27/08/1850,16/11/1868,1000,P.H. van Taets van Amerongen,01337,,592.5900646729309,
134,dr. P. Bleeker,Leiden,10/06/1862,24/01/1878,0,P.H. van Taets van Amerongen,01337,,0.0,
135,jhr.mr. H. van Alphen,Leiden,30/10/1866,16/06/1876,0,O. van Wassenaer van Catwijck,01509,465286.54,0.0,442366.0208737353
136,jhr.mr. H. van Alphen,Leiden,30/10/1866,16/06/1876,0,P.H. van Taets van Amerongen,01337,,0.0,
137,jhr.mr. H. van Alphen,Leiden,22/01/1868,16/06/1876,0,O. van Wassenaer van Catwijck,01509,465286.54,0.0,442366.0208737353
138,jhr.mr. H. van Alphen,Leiden,22/01/1868,16/06/1876,0,P.H. van Taets van Amerongen,01337,,0.0,
139,W.J.F. Nuyens,Leiden,18/03/1873,08/12/1894,1162.52,H.A. Neeb,00974,,1200.1053362939188,
140,dr. J. Bosscha jr.,Gouda,08/06/1869,15/04/1911,,W.M. de Brauw,00201,,,
141,mr. J. Fortuijn Droogleever,Gouda,15/06/1886,16/12/1897,42472.22,K.A. Godin de Beaufort,00465,,43777.73918898917,
142,mr. J. Fortuijn Droogleever,Gouda,15/06/1886,16/12/1897,42472.22,U.H. Huber,00612,192459.58,43777.73918898917,130414.62979673278
143,mr. J. Fortuijn Droogleever,Gouda,01/09/1887,16/12/1897,42472.22,K.A. Godin de Beaufort,00465,,43777.73918898917,
144,mr. J. Fortuijn Droogleever,Gouda,01/09/1887,16/12/1897,42472.22,U.H. Huber,00612,192459.58,43777.73918898917,130414.62979673278
145,mr. R.J.C. Metelerkamp,Delft,08/06/1869,30/01/1872,12880.46,J.L. Nierstrasz,00968,10900.76,7957.518491947004,7503.614210870044
146,mr. A.E.J. Modderman,Delft,12/06/1883,07/08/1885,271386.1,A.H.M. van Berckel,00089,41260.15,238465.02217967456,35834.440285119344
147,mr. A.E.J. Modderman,Delft,26/06/1883,07/08/1885,271386.1,A.H.M. van Berckel,00089,41260.15,238465.02217967456,35834.440285119344
148,mr. D.C.A. graaf van Hogendorp,Rotterdam,22/01/1868,12/09/1891,112653.58,I.D. Fransen van de Putte,00421,,106835.15421677788,
149,mr. D.C.A. graaf van Hogendorp,Rotterdam,22/01/1868,12/09/1891,112653.58,W.A. Viruly Verbrugge,01437,564769.07,106835.15421677788,490452.89204209956
150,mr. D.C.A. graaf van Hogendorp,Rotterdam,22/01/1868,12/09/1891,112653.58,F.W.C. Blom,00130,149670.0,106835.15421677788,104880.09913397765
151,M.L. van Deventer,Rotterdam,24/08/1880,22/01/1892,417.56,O. van Rees,01093,454809.63,397.2949824722193,432736.81382087973
152,M.L. van Deventer,Rotterdam,07/09/1880,22/01/1892,417.56,O. van Rees,01093,454809.63,397.2949824722193,432736.81382087973
153,G.P. Ittmann,Rotterdam,14/06/1881,03/05/1911,389389.18,J. van Gennep,00444,19484.52,361462.7009146347,18087.115890650115
154,M.L. van Deventer,Rotterdam,12/02/1884,22/01/1892,417.56,H.C. Verniers van der Loeff,01424,234413.34,397.2949824722193,222306.16487616271
155,R.F. baron van Raders,Den Haag,23/05/1854,14/11/1868,10000,I.P. Delprat,00301,264187.29,5925.900646729309,193986.01712663384
156,jhr.mr. J.K.J. de Jonge,Den Haag,10/06/1873,15/03/1880,335043.96,R.J. graaf van Schimmelpenninck,01202,52516.85,246014.2702653683,53035.91186180322
157,jhr. G.J.G. Klerck,Den Haag,12/06/1883,17/01/1884,221790.82,W. Wintgens,01557,628560.775,189424.06052837468,656293.619577483
158,A. Vogelsang,Dordrecht,27/08/1850,30/06/1877,10000,J.S. Lotsy,00844,,7007.42293939852,
159,A. Vogelsang,Dordrecht,27/08/1850,30/06/1877,10000,P. Blussé van Oud-Alblas,00138,256112.74,7007.42293939852,243496.3489140897
160,A. Vogelsang,Dordrecht,22/06/1852,30/06/1877,10000,G.A. de Raadt,01074,685978.4,7007.42293939852,497222.7002894377
161,A. Vogelsang,Dordrecht,10/06/1856,30/06/1877,10000,J.D. van der Poel,01041,,7007.42293939852,
162,G.A. Loeff,Dordrecht,22/04/1879,14/02/1919,239838.59,J.B. van Osenbruggen,01006,,126404.16069752349,
163,G.A. Loeff,Dordrecht,06/05/1879,14/02/1919,239838.59,J.B. van Osenbruggen,01006,,126404.16069752349,
164,I. Esser,Dordrecht,14/06/1881,11/10/1885,8512.66,G.M. van der Linden,00828,276159.77,7480.013367331741,257675.93498597582
165,jhr. B. van Merlen,Gorinchem,25/01/1859,19/12/1890,24020.65,G. Groen van Prinsterer,00485,,22799.928442116274,
166,jhr. G.J.G. Klerck,Gorinchem,10/06/1879,17/01/1884,221790.82,L.W.C. Keuchenius,00691,-8049.76,189424.06052837468,-8129.321577144653
167,mr. W.A. van Hoek,Goes,10/06/1879,24/01/1903,6699.65,A.F. de Savornin Lohman,01177,141708.44,6521.683513913198,84837.26570317429
168,mr. W.A. van Hoek,Goes,24/06/1879,24/01/1903,6699.65,A.F. de Savornin Lohman,01177,141708.44,6521.683513913198,84837.26570317429
169,A. Wiersinga,Steenwijk,10/04/1894,16/08/1899,7620.5,G.J.T. Beelaerts van Blokland,00076,286116.44,7570.8124577365,294911.14163568727
170,B. Berends,Meppel,09/06/1891,14/10/1918,85138.85,H. Smeenge,01269,,54123.29337139975,
171,mr. R.E. Hattink,Enschede,10/04/1894,23/01/1909,123276.72,A.F. Vos de Wael,01483,212190.04,114203.5534620243,192185.88991773693
172,mr. R.E. Hattink,Enschede,24/04/1894,23/01/1909,123276.72,A.F. Vos de Wael,01483,212190.04,114203.5534620243,192185.88991773693
173,jhr.mr. J.G. ridder van Rappard,Lochem,06/03/1888,06/10/1913,550000,A. van Schimmelpenninck van der Oye,01205,,501285.549657409,
174,jhr.mr. J.G. ridder van Rappard,Lochem,30/10/1888,06/10/1913,550000,C.M. Brantsen,00197,690374.0,501285.549657409,639562.4739025468
175,mr. J.F. Bijleveld,Arnhem,10/04/1894,01/03/1905,324737.86,P. Rink,01113,220457.0,295200.78678369115,144618.61899032828
176,jhr.mr. J.G. ridder van Rappard,Elst,06/03/1888,06/10/1913,550000,B.M. Bahlmann,00057,,501285.549657409,
177,A.D. Sipman,Elst,09/06/1891,19/03/1896,13922.27,G.W. van Dedem,00294,80230.25,14916.717850026052,74476.24214945153
178,E.D. de Meester,Elst,10/04/1894,18/07/1920,91573.89,W.H.J.T. van Basten van Batenburg,00065,,44815.607386370604,
179,E.D. de Meester,Elst,12/06/1894,18/07/1920,91573.89,W.H.J.T. van Basten van Batenburg,00065,,44815.607386370604,
180,E.D. de Meester,Elst,26/06/1894,18/07/1920,91573.89,W.H.J.T. van Basten van Batenburg,00065,,44815.607386370604,
181,jhr.mr. G.W. Mollerus,Apeldoorn,10/04/1894,13/11/1919,101398.46,W.K.F.P. graaf van Bylandt,00245,,53440.888025239845,
182,jhr.mr. G.W. Mollerus,Apeldoorn,24/04/1894,13/11/1919,101398.46,W.K.F.P. graaf van Bylandt,00245,,53440.888025239845,
183,D.C. Loman,Den Helder,06/03/1888,13/02/1903,27504.35,S.T. Land,00781,-14905.35,26773.736830416285,-15387.2536165645
184,J.J. Kraakman,Den Helder,30/10/1894,15/05/1895,9906.75,A.P. Staalman,01293,,10343.847523334924,
185,H. van Calcar,Den Helder,30/10/1894,18/11/1915,30482.17,A.P. Staalman,01293,,26473.764652475962,
186,J.J. Stooker,Den Helder,30/10/1894,21/05/1915,105489.13,A.P. Staalman,01293,,91617.30943087194,
187,J.J. Kraakman,Den Helder,13/11/1894,15/05/1895,9906.75,A.P. Staalman,01293,,10343.847523334924,
188,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.T. Cremer,00279,,322732.4277104304,
189,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.G. Gleichman,00462,663355.45,322732.4277104304,605681.4640750177
190,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,A. Gildemeester,00458,104918.0,322732.4277104304,93958.84000105847
191,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,A. Kerdijk,00682,,322732.4277104304,
192,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.P.R. Tak van Poortvliet,01339,1515387.13,322732.4277104304,1368528.3605292214
193,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,A.F.K. Hartogh,00525,299479.575,322732.4277104304,268197.577832307
194,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,B.H. Heldt,00553,942.0,322732.4277104304,818.1270002310321
195,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.W.H. Rutgers van Rozenburg,01148,932582.27,322732.4277104304,844663.3662986878
196,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.D. Veegens,01391,46534.3,322732.4277104304,42844.31206167665
197,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,B.H. Heldt,00553,942.0,0.0,818.1270002310321
198,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,A.F.K. Hartogh,00525,299479.575,0.0,268197.577832307
199,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,A. Kerdijk,00682,,0.0,
200,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.P.R. Tak van Poortvliet,01339,1515387.13,0.0,1368528.3605292214
201,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.T. Cremer,00279,,0.0,
202,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,W.K.M. Vrolik,01491,75097.99,0.0,67820.11480705916
203,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,M.W.F. Treub,01375,70949.45,0.0,46542.461708945135
204,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.G. Gleichman,00462,663355.45,0.0,605681.4640750177
205,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.W.H. Rutgers van Rozenburg,01148,932582.27,0.0,844663.3662986878
206,jhr. J.B. van Merlen,Haarlemmermeer,09/06/1891,23/02/1909,20718.66,F.J.M.A. Reekers,01091,234556.0,19193.766633079664,120529.53179612223
